gstin,period,output_tax,itc_availed,credit_utilized,cash_paid,itc_reversed
GSTIN1,2023-01,5200,0,0,5200,0
GSTIN2,2023-01,3000,1800,1800,1200,0
GSTIN3,2023-01,6000,4000,3500,2500,200
GSTIN4,2023-01,300,3000,2000,100,500
GSTIN5,2023-01,500,6000,500,0,0
GSTIN6,2023-01,0,4000,0,0,0
GSTIN7,2023-01,0,0,0,0,0
GSTIN8,2023-01,0,0,0,0,0
GSTIN9,2023-01,0,0,0,0,0
GSTIN1,2023-02,6400,0,0,6400,0
GSTIN2,2023-02,1000,1600,1000,0,0
GSTIN3,2023-02,2500,5000,2500,0,500
GSTIN4,2023-02,800,1000,800,0,0
GSTIN5,2023-02,1200,3300,1200,0,0
GSTIN6,2023-02,300,1200,300,0,0
GSTIN7,2023-02,0,300,0,0,0
GSTIN8,2023-02,500,1000,500,0,0
GSTIN9,2023-02,0,0,0,0,0
GSTIN1,2023-03,6500,0,0,6500,0
GSTIN2,2023-03,1200,0,0,1200,0
GSTIN3,2023-03,3500,7000,3500,0,0
GSTIN4,2023-03,200,0,200,0,0
GSTIN5,2023-03,1500,3500,1500,0,0
GSTIN6,2023-03,0,1600,0,0,0
GSTIN7,2023-03,0,0,0,0,0
GSTIN8,2023-03,900,1200,900,0,0
GSTIN9,2023-03,0,900,0,0,0
