Sr. No.,Division Name,Name of Divisional Commissioner,Mobile No,Email ID
1,Agra,Shri Shailendra Kumar Singh,+91-9454417491,commagr@nic.in
2,Prayagraj,Shri Vijay Vishwas Pant,+91-9454417492,commall@nic.in
3,Kanpur,Shri K Vijendra Pandian,+91-9454417502,commkap@nic.in
4,Ayodhya,Shri Rajesh Kumar,+91-9454417499,commfai@nic.in
5,Gorakhpur,Shri Anil Dhingra,+91-9454417500,commgor@nic.in
6,Jhansi,Shri Bimal Kumar Dubey,+91-9454417501,commjha@nic.in
7,Chitrakoot Dham,Shri Ajeet Kumar,+91-9454417497,commban@nic.in
8,Devipatan,Shri Shashi Bhushan Lal Susheel,+91-9454417498,commgon@nic.in
9,Saharanpur,Shri Atal Kumar Rai,+91-9454417507,commsah@nic.in
10,Lucknow,Smt. Roshan Jacob,+91-9454417503,commluc@nic.in
11,Meerut,Shri Hrishikesh Bhaskar Yashodh,+91-9454417504,commmee@nic.in
12,Bareilly,Smt. Saumya Agarwal,+91-9454417495,commbar@nic.in
13,Moradabad,Shri Anjaneya Kumar Singh,+91-9454417506,commmor@nic.in
14,Varanasi,Shri Kaushal Raj Sharma,+91-9454417508,commvar@nic.in
15,Azamgarh,Shri Vivek,+91-9454417494,commaza@nic.in
16,Mirzapur,Shri Bal Krishna Tripathi,+91-9454417505,commmir@nic.in
17,Basti,Shri Akhilesh Singh,+91-9454417496,commbas@nic.in
18,Aligarh,Smt Sangita Singh,+91-9454417493,commali@nic.in
